dv,task,measure_description,retest_reliability,type,days,sample_size,reference,overall_difference,raw_fit,rt_acc,ddm_task,mturk
angling_risk_task_always_sunny.keep_adjusted_clicks,task,Average number of clicks for trials where blue fish was not caught in the condition where probability of loosing everything in the round increased with each click,0.62,Pearson,1,60,Lejuez et al. (2003),condition,raw,,0,0
angling_risk_task_always_sunny.keep_adjusted_clicks,task,Average number of clicks for trials where blue fish was not caught in the condition where probability of loosing everything in the round increased with each click,0.82,Pearson,1,60,Lejuez et al. (2003),condition,raw,,0,0
angling_risk_task_always_sunny.keep_adjusted_clicks,task,Average number of clicks for trials where blue fish was not caught in the condition where probability of loosing everything in the round increased with each click,0.79,Pearson,1,60,Lejuez et al. (2003),condition,raw,,0,0
angling_risk_task_always_sunny.keep_adjusted_clicks,task,Average number of clicks for trials where blue fish was not caught in the condition where probability of loosing everything in the round increased with each click,0.66,Pearson,3,39,"White, Lejuez and de Wit (2008)",condition,raw,,0,0
angling_risk_task_always_sunny.keep_adjusted_clicks,task,Average number of clicks for trials where blue fish was not caught in the condition where probability of loosing everything in the round increased with each click,0.78,Pearson,3,39,"White, Lejuez and de Wit (2008)",condition,raw,,0,0
angling_risk_task_always_sunny.keep_adjusted_clicks,task,Average number of clicks for trials where blue fish was not caught in the condition where probability of loosing everything in the round increased with each click,0.75,Pearson,3,39,"White, Lejuez and de Wit (2008)",condition,raw,,0,0
angling_risk_task_always_sunny.keep_adjusted_clicks,task,Average number of clicks for trials where blue fish was not caught in the condition where probability of loosing everything in the round increased with each click,0.79,Pearson,9,119,Weafer et al. (2013),condition,raw,,0,0
angling_risk_task_always_sunny.keep_adjusted_clicks,task,Average number of clicks for trials where blue fish was not caught in the condition where probability of loosing everything in the round increased with each click,0.39,Pearson,700,275,MacPherson et al. (2010),condition,raw,,0,0
angling_risk_task_always_sunny.keep_adjusted_clicks,task,Average number of clicks for trials where blue fish was not caught in the condition where probability of loosing everything in the round increased with each click,0.67,Pearson,700,275,MacPherson et al. (2010),condition,raw,,0,0
angling_risk_task_always_sunny.keep_adjusted_clicks,task,Average number of clicks for trials where blue fish was not caught in the condition where probability of loosing everything in the round increased with each click,0.49,Pearson,700,275,MacPherson et al. (2010),condition,raw,,0,0
attention_network_task.alerting_rt,task,Difference in median response time between nocue and double cue trials,0.52,Pearson,1,40,Fan et al. (2002),difference,raw,rt,1,0
attention_network_task.alerting_rt,task,Difference in median response time between nocue and double cue trials,0.36,Pearson,1,104,Fan et al. (2001),difference,raw,rt,1,0
attention_network_task.alerting_rt,task,Difference in median response time between nocue and double cue trials,-0.02,Pearson,9,10,Ishigami and Klein (2010),difference,raw,rt,1,0
attention_network_task.alerting_rt,task,Difference in median response time between nocue and double cue trials,0.14,Pearson,7,68,"Habekost, Petersen and Vangkilde (2014)",difference,raw,rt,1,0
attention_network_task.alerting_rt,task,Difference in median response time between nocue and double cue trials,0.35,Pearson,7,68,"Habekost, Petersen and Vangkilde (2014)",difference,raw,rt,1,0
attention_network_task.avg_rt,task,Median response time for correct responses,0.87,Pearson,1,40,Fan et al. (2002),overall,raw,rt,1,0
attention_network_task.avg_rt,task,Median response time for correct responses,0.856,Pearson,7,75,Paap and Sawi (2016),overall,raw,rt,1,0
attention_network_task.conflict_rt,task,Difference in median response time between incongruent and congruent flanker trials,0.72,Pearson,1,40,Fan et al. (2002),difference,raw,rt,1,0
attention_network_task.conflict_rt,task,Difference in median response time between incongruent and congruent flanker trials,0.81,Pearson,1,104,Fan et al. (2001),difference,raw,rt,1,0
attention_network_task.conflict_rt,task,Difference in median response time between incongruent and congruent flanker trials,0.86,Pearson,9,10,Ishigami and Klein (2010),difference,raw,rt,1,0
attention_network_task.conflict_rt,task,Difference in median response time between incongruent and congruent flanker trials,0.84,Pearson,7,68,"Habekost, Petersen and Vangkilde (2014)",difference,raw,rt,1,0
attention_network_task.conflict_rt,task,Difference in median response time between incongruent and congruent flanker trials,0.74,Pearson,7,68,"Habekost, Petersen and Vangkilde (2014)",difference,raw,rt,1,0
attention_network_task.conflict_rt,task,Difference in median response time between incongruent and congruent flanker trials,0.515,Pearson,7,75,Paap and Sawi (2016),difference,raw,rt,1,0
attention_network_task.congruent_rt,task,Median response time for trials where target and flankers are congruent,0.858,Pearson,7,75,Paap and Sawi (2016),condition,raw,rt,1,0
attention_network_task.incongruent_rt,task,Median response time for trials where target and flankers are incongruent,0.879,Pearson,7,75,Paap and Sawi (2016),condition,raw,rt,1,0
attention_network_task.neutral_rt,task,Median response time for trials where flankers do not point a direction,0.642,Pearson,7,75,Paap and Sawi (2016),condition,raw,rt,1,0
attention_network_task.orienting_rt,task,Difference in median response time between center and spatial cue trials,0.61,Pearson,1,40,Fan et al. (2002),difference,raw,rt,1,0
attention_network_task.orienting_rt,task,Difference in median response time between center and spatial cue trials,0.41,Pearson,1,104,Fan et al. (2001),difference,raw,rt,1,0
attention_network_task.orienting_rt,task,Difference in median response time between center and spatial cue trials,0.57,Pearson,9,10,Ishigami and Klein (2010),difference,raw,rt,1,0
attention_network_task.orienting_rt,task,Difference in median response time between center and spatial cue trials,0.58,Pearson,7,68,"Habekost, Petersen and Vangkilde (2014)",difference,raw,rt,1,0
attention_network_task.orienting_rt,task,Difference in median response time between center and spatial cue trials,0.59,Pearson,7,68,"Habekost, Petersen and Vangkilde (2014)",difference,raw,rt,1,0
bickel_titrator.auc_small,task,Area under the curve of indifference points not assuming a shape for the discounitng function for small later rewards only,0.67,Pearson,30,131,"Horan, Johnson and Green (2017)",condition,raw,,0,0
bickel_titrator.auc_small,task,Area under the curve of indifference points not assuming a shape for the discounitng function for small later rewards only,0.86,Pearson,7,49,Smits et al. (2013),condition,raw,,0,0
bickel_titrator.auc_small,task,Area under the curve of indifference points not assuming a shape for the discounitng function for small later rewards only,0.89,Pearson,9,112,Weafer et al. (2013),condition,raw,,0,0
bickel_titrator.hyp_discount_rate_large,task,Hyperbolic discount rate for condition where larger amount is fixed at $1 million. Estimated by fitting model to six decayed values for different delays,0.71,Pearson,7,30,"Baker, Johnson and Bickel (2003)",condition,fit,,0,0
bickel_titrator.hyp_discount_rate_large,task,Hyperbolic discount rate for condition where larger amount is fixed at $1 million. Estimated by fitting model to six decayed values for different delays,0.9,Pearson,7,30,"Baker, Johnson and Bickel (2003)",condition,fit,,0,0
bickel_titrator.hyp_discount_rate_large,task,Hyperbolic discount rate for condition where larger amount is fixed at $1 million. Estimated by fitting model to six decayed values for different delays,0.65,Pearson,7,30,"Johnson, Bickel and Baker (2007)",condition,fit,,0,0
bickel_titrator.hyp_discount_rate_medium,task,Hyperbolic discount rate for condition where larger amount is fixed at $1000. Estimated by fitting model to six decayed values for different delays,0.78,Pearson,7,30,"Baker, Johnson and Bickel (2003)",condition,fit,,0,0
bickel_titrator.hyp_discount_rate_medium,task,Hyperbolic discount rate for condition where larger amount is fixed at $1000. Estimated by fitting model to six decayed values for different delays,0.87,Pearson,7,30,"Baker, Johnson and Bickel (2003)",condition,fit,,0,0
bickel_titrator.hyp_discount_rate_medium,task,Hyperbolic discount rate for condition where larger amount is fixed at $1000. Estimated by fitting model to six decayed values for different delays,0.718,Pearson,7,30,"Johnson, Bickel and Baker (2007)",condition,fit,,0,0
bickel_titrator.hyp_discount_rate_medium,task,Hyperbolic discount rate for condition where larger amount is fixed at $1000. Estimated by fitting model to six decayed values for different delays,0.41,Pearson,28,37,De Wilde et al. (2013),condition,fit,,0,0
bickel_titrator.hyp_discount_rate_medium,task,Hyperbolic discount rate for condition where larger amount is fixed at $1000. Estimated by fitting model to six decayed values for different delays,0.68,Spearman,1,220,Yoon and Chapman (2016),condition,fit,,0,1
bickel_titrator.hyp_discount_rate_small,task,Hyperbolic discount rate for condition where larger amount is fixed at $10. Estimated by fitting model to six decayed values for different delays,0.77,Pearson,9,48,Hendrickson and Rasmussen (2013),condition,fit,,0,0
bickel_titrator.hyp_discount_rate_small,task,Hyperbolic discount rate for condition where larger amount is fixed at $10. Estimated by fitting model to six decayed values for different delays,0.939,Pearson,4,24,Richards et al. (1999),condition,fit,,0,0
bickel_titrator.hyp_discount_rate_small,task,Hyperbolic discount rate for condition where larger amount is fixed at $10. Estimated by fitting model to six decayed values for different delays,0.74,Pearson,7,30,"Baker, Johnson and Bickel (2003)",condition,fit,,0,0
bickel_titrator.hyp_discount_rate_small,task,Hyperbolic discount rate for condition where larger amount is fixed at $10. Estimated by fitting model to six decayed values for different delays,0.82,Pearson,7,30,"Baker, Johnson and Bickel (2003)",condition,fit,,0,0
bickel_titrator.hyp_discount_rate_small,task,Hyperbolic discount rate for condition where larger amount is fixed at $10. Estimated by fitting model to six decayed values for different delays,0.549,Pearson,7,30,"Johnson, Bickel and Baker (2007)",condition,fit,,0,0
bickel_titrator.hyp_discount_rate_small,task,Hyperbolic discount rate for condition where larger amount is fixed at $10. Estimated by fitting model to six decayed values for different delays,0.43,Pearson,28,37,De Wilde et al. (2013),condition,fit,,0,0
bickel_titrator.hyp_discount_rate_small,task,Hyperbolic discount rate for condition where larger amount is fixed at $10. Estimated by fitting model to six decayed values for different delays,0.5,Pearson,28,37,De Wilde et al. (2013),condition,fit,,0,0
choice_reaction_time.avg_rt,task,Median response time for correct responses,0.6,Pearson,21,55,Barrett et al. (1982),"overall, raw, rt",raw,rt,1,0
choice_reaction_time.avg_rt,task,Median response time for correct responses,0.94,Pearson,1,16,Kennedy et al. (1989),"overall, raw, rt",raw,rt,1,0
choice_reaction_time.avg_rt,task,Median response time for correct responses,0.94,Pearson,1,16,Kennedy et al. (1989),"overall, raw, rt",raw,rt,1,0
choice_reaction_time.avg_rt,task,Median response time for correct responses,0.71,Pearson,28,21,Williams et al. (2005),"overall, raw, rt",raw,rt,1,0
choice_reaction_time.avg_rt,task,Median response time for correct responses,0.83,Pearson,1,20,"Deary, Liewald and Nissan (2011)","overall, raw, rt",raw,rt,1,0
choice_reaction_time.avg_rt,task,Median response time for correct responses,0.79,ICC,1,96,Jones et al. (2016),"overall, raw, rt",raw,rt,1,0
dietary_decision.prop_healthy_choice,task,Proportion of choices in the test phase where the item with higher health rating is chosen,0.42,Pearson,7,27,Vlaev et al. (2017),overall,raw,,0,0
dietary_decision.prop_healthy_choice,task,Proportion of choices in the test phase where the item with higher health rating is chosen,0.61,Pearson,7,27,Vlaev et al. (2017),overall,raw,,0,0
dietary_decision.prop_healthy_choice,task,Proportion of choices in the test phase where the item with higher health rating is chosen,0.54,Pearson,7,27,Vlaev et al. (2017),overall,raw,,0,0
digit_span.forward_span,task,Average number of accurately recalled digits in order of appearance after dropping the first four trials,0.73,Pearson,90,145,"Baddeley, Gardner and Grantham-McGregor (1995)",condition,raw,,0,0
digit_span.forward_span,task,Average number of accurately recalled digits in order of appearance after dropping the first four trials,0.73,Pearson,7,43,Karpicke and Pisoni (2000),condition,raw,,0,0
digit_span.forward_span,task,Average number of accurately recalled digits in order of appearance after dropping the first four trials,0.35,Pearson,14,25,Williams et al. (2000),condition,raw,,0,0
digit_span.forward_span,task,Average number of accurately recalled digits in order of appearance after dropping the first four trials,0.67,Pearson,14,27,Williams et al. (2000),condition,raw,,0,0
digit_span.forward_span,task,Average number of accurately recalled digits in order of appearance after dropping the first four trials,0.76,Pearson,7,45,Sternberg et al. (2002),condition,raw,,0,0
digit_span.forward_span,task,Average number of accurately recalled digits in order of appearance after dropping the first four trials,0.85,Pearson,1,22,Gray (2003),condition,raw,,0,0
digit_span.forward_span,task,Average number of accurately recalled digits in order of appearance after dropping the first four trials,0.87,Pearson,7,22,Gray (2003),condition,raw,,0,0
digit_span.forward_span,task,Average number of accurately recalled digits in order of appearance after dropping the first four trials,0.48,Pearson,1,22,Gray (2003),condition,raw,,0,0
digit_span.forward_span,task,Average number of accurately recalled digits in order of appearance after dropping the first four trials,0.57,Pearson,7,22,Gray (2003),condition,raw,,0,0
digit_span.forward_span,task,Average number of accurately recalled digits in order of appearance after dropping the first four trials,0.81,Pearson,14,663,Alloway et al. (2004),condition,raw,,0,0
digit_span.forward_span,task,Average number of accurately recalled digits in order of appearance after dropping the first four trials,0.5,Pearson,28,21,Williams et al. (2005),condition,raw,,0,0
digit_span.forward_span,task,Average number of accurately recalled digits in order of appearance after dropping the first four trials,0.71,Spearman,510,59,"Tröster, Woods and Morgan (2007)",condition,raw,,0,0
digit_span.forward_span,task,Average number of accurately recalled digits in order of appearance after dropping the first four trials,0.84,Pearson,28,105,"Alloway, Gathercole and Pickering (2006)",condition,raw,,0,0
digit_span.forward_span,task,Average number of accurately recalled digits in order of appearance after dropping the first four trials,0.27,Pearson,360,473,Slade et al. (2008),condition,raw,,0,0
digit_span.forward_span,task,Average number of accurately recalled digits in order of appearance after dropping the first four trials,0.32,Pearson,360,457,Slade et al. (2008),condition,raw,,0,0
digit_span.forward_span,task,Average number of accurately recalled digits in order of appearance after dropping the first four trials,0.42,Pearson,360,437,Slade et al. (2008),condition,raw,,0,0
digit_span.forward_span,task,Average number of accurately recalled digits in order of appearance after dropping the first four trials,0.54,Pearson,360,417,Slade et al. (2008),condition,raw,,0,0
digit_span.reverse_span,task,Average number of accurately recalled digits in reverse order of appearance after dropping the first four trials,0.67,Pearson,90,145,"Baddeley, Gardner and Grantham-McGregor (1995)",condition,raw,,0,0
digit_span.reverse_span,task,Average number of accurately recalled digits in reverse order of appearance after dropping the first four trials,0.55,Pearson,14,25,Williams et al. (2000),condition,raw,,0,0
digit_span.reverse_span,task,Average number of accurately recalled digits in reverse order of appearance after dropping the first four trials,0.78,Pearson,14,27,Williams et al. (2000),condition,raw,,0,0
digit_span.reverse_span,task,Average number of accurately recalled digits in reverse order of appearance after dropping the first four trials,0.53,Pearson,14,663,Alloway et al. (2004),condition,raw,,0,0
digit_span.reverse_span,task,Average number of accurately recalled digits in reverse order of appearance after dropping the first four trials,0.6,Pearson,28,21,Williams et al. (2005),condition,raw,,0,0
digit_span.reverse_span,task,Average number of accurately recalled digits in reverse order of appearance after dropping the first four trials,0.67,Spearman,510,59,"Tröster, Woods and Morgan (2007)",condition,raw,,0,0
digit_span.reverse_span,task,Average number of accurately recalled digits in reverse order of appearance after dropping the first four trials,0.64,Pearson,28,105,"Alloway, Gathercole and Pickering (2006)",condition,raw,,0,0
digit_span.reverse_span,task,Average number of accurately recalled digits in reverse order of appearance after dropping the first four trials,0.37,Pearson,540,211,Ven et al. (2013),condition,raw,,0,0
dot_pattern_expectancy.AX_errors,task,Errors in AX trials,0.71,ICC,23,38,"Jones, Sponheim and McDonald (2010)",condition,raw,,1,0
dot_pattern_expectancy.AX_errors,task,Errors in AX trials,0.74,ICC,23,38,"Jones, Sponheim and McDonald (2010)",condition,raw,,1,0
dot_pattern_expectancy.AX_rt,task,Mean RT for AX trials,0.66,ICC,23,38,"Jones, Sponheim and McDonald (2010)",condition,raw,rt,1,0
dot_pattern_expectancy.AX_rt,task,Mean RT for AX trials,0.66,ICC,23,38,"Jones, Sponheim and McDonald (2010)",condition,raw,rt,1,0
dot_pattern_expectancy.AY_errors,task,Errors in AY trials,0.39,ICC,23,38,"Jones, Sponheim and McDonald (2010)",condition,raw,,1,0
dot_pattern_expectancy.AY_errors,task,Errors in AY trials,0.27,ICC,23,38,"Jones, Sponheim and McDonald (2010)",condition,raw,,1,0
dot_pattern_expectancy.AY_rt,task,Mean RT for AY trials,0.63,ICC,23,38,"Jones, Sponheim and McDonald (2010)",condition,raw,rt,1,0
dot_pattern_expectancy.AY_rt,task,Mean RT for AY trials,0.56,ICC,23,38,"Jones, Sponheim and McDonald (2010)",condition,raw,rt,1,0
dot_pattern_expectancy.BX_errors,task,Errors in BX trials,0.28,ICC,23,38,"Jones, Sponheim and McDonald (2010)",condition,raw,,1,0
dot_pattern_expectancy.BX_errors,task,Errors in BX trials,0.42,ICC,23,38,"Jones, Sponheim and McDonald (2010)",condition,raw,,1,0
dot_pattern_expectancy.BX_rt,task,Mean RT for BX trials,0.34,ICC,23,38,"Jones, Sponheim and McDonald (2010)",condition,raw,rt,1,0
dot_pattern_expectancy.BX_rt,task,Mean RT for BX trials,0.34,ICC,23,38,"Jones, Sponheim and McDonald (2010)",condition,raw,rt,1,0
dot_pattern_expectancy.BY_errors,task,Errors in BY trials,-0.06,ICC,23,38,"Jones, Sponheim and McDonald (2010)",condition,raw,,1,0
dot_pattern_expectancy.BY_errors,task,Errors in BY trials,-0.06,ICC,23,38,"Jones, Sponheim and McDonald (2010)",condition,raw,,1,0
dot_pattern_expectancy.BY_rt,task,Mean RT for BY trials,0.54,ICC,23,38,"Jones, Sponheim and McDonald (2010)",condition,raw,rt,1,0
dot_pattern_expectancy.BY_rt,task,Mean RT for BY trials,0.54,ICC,23,38,"Jones, Sponheim and McDonald (2010)",condition,raw,rt,1,0
dot_pattern_expectancy.dprime,task,Difference between hit rate in AX trials and false alarm rate on BX trials,0.8,ICC,23,38,"Jones, Sponheim and McDonald (2010)",difference,raw,,1,0
dot_pattern_expectancy.dprime,task,Difference between hit rate in AX trials and false alarm rate on BX trials,0.77,ICC,23,38,"Jones, Sponheim and McDonald (2010)",difference,raw,,1,0
dot_pattern_expectancy.dprime,task,Difference between hit rate in AX trials and false alarm rate on BX trials,0.73,Pearson,7,86,Strauss et al. (2013),difference,raw,,1,0
dot_pattern_expectancy.dprime,task,Difference between hit rate in AX trials and false alarm rate on BX trials,0.78,Pearson,14,86,Strauss et al. (2013),difference,raw,,1,0
go_nogo.go_rt,task,Mean RT for go trials,0.88,Pearson,30,109,Kertzman et al. (2001),overall,raw,rt,0,0
go_nogo.commission_errors,task,Nogo trials that subjects go in,0.64,Pearson,30,109,Kertzman et al. (2001),condition,raw,accuracy,0,0
go_nogo.commission_errors,task,Nogo trials that subjects go in,0.65,Pearson,9,123,Weafer et al. (2013),condition,raw,accuracy,0,0
go_nogo.commission_errors,task,Nogo trials that subjects go in,0.62,Pearson,7,66,Bender et al. (2016),condition,raw,accuracy,0,0
go_nogo.commission_errors,task,Nogo trials that subjects go in,0.76,ICC,21,47,"Hedge, Powell and Sumner (2017)",condition,raw,accuracy,0,0
go_nogo.commission_errors,task,Nogo trials that subjects go in,0.76,ICC,21,57,"Hedge, Powell and Sumner (2017)",condition,raw,accuracy,0,0
go_nogo.commission_errors,task,Nogo trials that subjects go in,0.252,ICC,1,96,Jones et al. (2016),condition,raw,accuracy,0,0
go_nogo.commission_errors,task,Nogo trials that subjects go in,0.548,ICC,1,96,Jones et al. (2016),condition,raw,accuracy,0,0
go_nogo.go_rt,task,Mean RT for go trials,0.836,ICC,1,96,Jones et al. (2016),condition,raw,rt,0,0
go_nogo.go_rt,task,Mean RT for go trials,0.847,ICC,1,96,Jones et al. (2016),condition,raw,rt,0,0
go_nogo.go_rt,task,Mean RT for go trials,0.74,ICC,21,47,"Hedge, Powell and Sumner (2017)",condition,raw,rt,0,0
go_nogo.go_rt,task,Mean RT for go trials,0.63,ICC,21,57,"Hedge, Powell and Sumner (2017)",condition,raw,rt,0,0
go_nogo.omission_errors,task,Go false alarms where response is witheld when it shouldn't have been,0.69,ICC,21,47,"Hedge, Powell and Sumner (2017)",condition,raw,accuracy,0,0
go_nogo.omission_errors,task,Go false alarms where response is witheld when it shouldn't have been,0.42,ICC,21,57,"Hedge, Powell and Sumner (2017)",condition,raw,accuracy,0,0
holt_laury_survey.risk_aversion,task,Relative risk aversion (U(x) = (x^(1-r))/(1-r)- implementation details may vary),0.32,Spearman,37,29,Chung et al. (2017),overall,fit,,0,0
holt_laury_survey.risk_aversion,task,Relative risk aversion (U(x) = (x^(1-r))/(1-r)- implementation details may vary),0.68,Spearman,37,31,Chung et al. (2017),overall,fit,,0,0
holt_laury_survey.risk_aversion,task,Relative risk aversion (U(x) = (x^(1-r))/(1-r)- implementation details may vary),0.41,Spearman,37,47,Chung et al. (2017),overall,fit,,0,0
holt_laury_survey.risk_aversion,task,Relative risk aversion (U(x) = (x^(1-r))/(1-r)- implementation details may vary),0.65,Spearman,37,65,Chung et al. (2017),overall,fit,,0,0
holt_laury_survey.risk_aversion,task,Relative risk aversion (U(x) = (x^(1-r))/(1-r)- implementation details may vary),0.46,Pearson,100,97,Andersen et al. (2008),overall,fit,,0,0
holt_laury_survey.risk_aversion,task,Relative risk aversion (U(x) = (x^(1-r))/(1-r)- implementation details may vary),0.58,Pearson,100,97,Andersen et al. (2008),overall,fit,,0,0
holt_laury_survey.risk_aversion,task,Relative risk aversion (U(x) = (x^(1-r))/(1-r)- implementation details may vary),0.34,Pearson,100,97,Andersen et al. (2008),overall,fit,,0,0
holt_laury_survey.risk_aversion,task,Relative risk aversion (U(x) = (x^(1-r))/(1-r)- implementation details may vary),0.43,Pearson,100,97,Andersen et al. (2008),overall,fit,,0,0
holt_laury_survey.risk_aversion,task,Relative risk aversion (U(x) = (x^(1-r))/(1-r)- implementation details may vary),0.77,Spearman,49,53,Wölbert and Riedl (2013),overall,fit,,0,0
holt_laury_survey.risky_choices,task,Number of time the risky gamble is chosen among the 10 choices,0.258,Spearman,360,44,Lönnqvist et al. (2015),overall,raw,,0,0
holt_laury_survey.risky_choices,task,Number of time the risky gamble is chosen among the 10 choices,0.36,Spearman,37,29,Chung et al. (2017),overall,raw,,0,0
holt_laury_survey.risky_choices,task,Number of time the risky gamble is chosen among the 10 choices,0.62,Spearman,37,31,Chung et al. (2017),overall,raw,,0,0
holt_laury_survey.risky_choices,task,Number of time the risky gamble is chosen among the 10 choices,0.23,Spearman,37,47,Chung et al. (2017),overall,raw,,0,0
holt_laury_survey.risky_choices,task,Number of time the risky gamble is chosen among the 10 choices,0.51,Spearman,37,65,Chung et al. (2017),overall,raw,,0,0
information_sampling_task.Decreasing_Win_motivation,task,Average latency in opening each box in the condition where opening each additional box decreases the points that can be earned in that round following a correct guess of the color in majority,0.02,ICC,360,312,Grummitt et al.,condition,raw,rt,0,0
information_sampling_task.Decreasing_Win_boxes_opened,task,Number of boxes opened on average for all rounds in the decreasing win condition,0.53,ICC,360,312,Grummitt et al.,condition,raw,,0,0
information_sampling_task.Fixed_Win_motivation,task,Average latency in opening each box in the condition where the points that can be earned is fixed in that round following a correct guess of the color in majority,0.55,ICC,360,312,Grummitt et al.,condition,raw,rt,0,0
information_sampling_task.Fixed_Win_boxes_opened,task,Number of boxes opened on average for all rounds in the fixed win condition,0.16,ICC,360,312,Grummitt et al.,condition,raw,,0,0
keep_track.score,task,Proportion of items remembered correctly where correct means indicating the last item of a category in a given sequence of words,0.36,Pearson,540,211,Ven et al. (2013),overall,raw,,0,0
kirby.exp_discount_rate,task,Exponential discount rate for all items,0.68,Spearman,49,53,Wölbert and Riedl (2013),overall,fit,,0,0
kirby.exp_discount_rate_large,task,Exponential discount rate for large delayed rewards only,0.61,Spearman,49,53,Wölbert and Riedl (2013),condition,fit,,0,0
kirby.exp_discount_rate_medium,task,Exponential discount rate for medium delayed rewards only,0.68,Spearman,49,53,Wölbert and Riedl (2013),condition,fit,,0,0
kirby.exp_discount_rate_small,task,Exponential discount rate for small delayed rewards only,0.67,Spearman,49,53,Wölbert and Riedl (2013),condition,fit,,0,0
kirby.hyp_discount_rate,task,Hyperbolic discount rate for all items,0.77,Pearson,35,81,Kirby (2009),overall,fit,,0,0
kirby.hyp_discount_rate,task,Hyperbolic discount rate for all items,0.71,Pearson,360,37,Kirby (2009),overall,fit,,0,0
kirby.hyp_discount_rate,task,Hyperbolic discount rate for all items,0.73,Pearson,399,46,Kirby (2009),overall,fit,,0,0
kirby.hyp_discount_rate,task,Hyperbolic discount rate for all items,0.65,Spearman,1,220,Yoon and Chapman (2016),overall,fit,,0,1
kirby.hyp_discount_rate,task,Hyperbolic discount rate for all items,0.85,Pearson,1,93,Arfer and Luhmann (2017),overall,fit,,0,1
kirby.hyp_discount_rate,task,Hyperbolic discount rate for all items,0.77,Pearson,30,93,Arfer and Luhmann (2017),overall,fit,,0,1
kirby.hyp_discount_rate,task,Hyperbolic discount rate for all items,0.56,ICC,28,90,Black and Rosen (2011),overall,fit,,0,0
kirby.hyp_discount_rate_large,task,Hyperbolic discount rate for set of 9 choices with large rewards,0.66,Pearson,35,81,Kirby (2009),condition,fit,,0,0
kirby.hyp_discount_rate_large,task,Hyperbolic discount rate for set of 9 choices with large rewards,0.59,Pearson,360,37,Kirby (2009),condition,fit,,0,0
kirby.hyp_discount_rate_large,task,Hyperbolic discount rate for set of 9 choices with large rewards,0.57,Pearson,399,46,Kirby (2009),condition,fit,,0,0
kirby.hyp_discount_rate_medium,task,Hyperbolic discount rate for set of 9 choices with medium rewards,0.75,Pearson,35,81,Kirby (2009),condition,fit,,0,0
kirby.hyp_discount_rate_medium,task,Hyperbolic discount rate for set of 9 choices with medium rewards,0.71,Pearson,360,37,Kirby (2009),condition,fit,,0,0
kirby.hyp_discount_rate_medium,task,Hyperbolic discount rate for set of 9 choices with medium rewards,0.61,Pearson,399,46,Kirby (2009),condition,fit,,0,0
kirby.hyp_discount_rate_small,task,Hyperbolic discount rate for set of 9 choices with small rewards,0.77,Pearson,35,81,Kirby (2009),condition,fit,,0,0
kirby.hyp_discount_rate_small,task,Hyperbolic discount rate for set of 9 choices with small rewards,0.71,Pearson,360,37,Kirby (2009),condition,fit,,0,0
kirby.hyp_discount_rate_small,task,Hyperbolic discount rate for set of 9 choices with small rewards,0.59,Pearson,399,46,Kirby (2009),condition,fit,,0,0
