"dv","task_group","var","task","retest_reliability","type","days","sample_size","reference","overall_difference","raw_fit","rt_acc","ddm_task","mturk","clinical","total_trial_numbers","condition_trial_numbers","mean_icc2.1","mean_icc3.k","mean_pearson"
"angling_risk_task_always_sunny.keep_adjusted_clicks","Angling Risk  Always Sunny","keep adjusted clicks","task",0.62,"Pearson",1,60,"Lejuez et al. (2003)","condition","raw","",0,0,"",30,30,0.317838240134591,0.479984101510928,0.32372949756422
"angling_risk_task_always_sunny.keep_adjusted_clicks","Angling Risk  Always Sunny","keep adjusted clicks","task",0.82,"Pearson",1,60,"Lejuez et al. (2003)","condition","raw","",0,0,"",30,30,0.317838240134591,0.479984101510928,0.32372949756422
"angling_risk_task_always_sunny.keep_adjusted_clicks","Angling Risk  Always Sunny","keep adjusted clicks","task",0.79,"Pearson",1,60,"Lejuez et al. (2003)","condition","raw","",0,0,"",30,30,0.317838240134591,0.479984101510928,0.32372949756422
"angling_risk_task_always_sunny.keep_adjusted_clicks","Angling Risk  Always Sunny","keep adjusted clicks","task",0.66,"Pearson",3,39,"White, Lejuez and de Wit (2008)","condition","raw","",0,0,"",60,20,0.317838240134591,0.479984101510928,0.32372949756422
"angling_risk_task_always_sunny.keep_adjusted_clicks","Angling Risk  Always Sunny","keep adjusted clicks","task",0.78,"Pearson",3,39,"White, Lejuez and de Wit (2008)","condition","raw","",0,0,"",60,20,0.317838240134591,0.479984101510928,0.32372949756422
"angling_risk_task_always_sunny.keep_adjusted_clicks","Angling Risk  Always Sunny","keep adjusted clicks","task",0.75,"Pearson",3,39,"White, Lejuez and de Wit (2008)","condition","raw","",0,0,"",60,20,0.317838240134591,0.479984101510928,0.32372949756422
"angling_risk_task_always_sunny.keep_adjusted_clicks","Angling Risk  Always Sunny","keep adjusted clicks","task",0.79,"Pearson",9,119,"Weafer et al. (2013)","condition","raw","",0,0,"",30,30,0.317838240134591,0.479984101510928,0.32372949756422
"angling_risk_task_always_sunny.keep_adjusted_clicks","Angling Risk  Always Sunny","keep adjusted clicks","task",0.39,"Pearson",700,275,"MacPherson et al. (2010)","condition","raw","",0,0,"",30,30,0.317838240134591,0.479984101510928,0.32372949756422
"angling_risk_task_always_sunny.keep_adjusted_clicks","Angling Risk  Always Sunny","keep adjusted clicks","task",0.67,"Pearson",700,275,"MacPherson et al. (2010)","condition","raw","",0,0,"",30,30,0.317838240134591,0.479984101510928,0.32372949756422
"angling_risk_task_always_sunny.keep_adjusted_clicks","Angling Risk  Always Sunny","keep adjusted clicks","task",0.49,"Pearson",700,275,"MacPherson et al. (2010)","condition","raw","",0,0,"",30,30,0.317838240134591,0.479984101510928,0.32372949756422
"attention_network_task.alerting_rt","Attention Network ","alerting rt","task",0.52,"Pearson",1,40,"Fan et al. (2002)","difference","raw","rt",1,0,"",96,NA,0.0220933174018871,0.0182022953484484,0.0212250662584703
"attention_network_task.alerting_rt","Attention Network ","alerting rt","task",0.36,"Pearson",1,104,"Fan et al. (2001)","difference","raw","rt",1,0,"",96,NA,0.0220933174018871,0.0182022953484484,0.0212250662584703
"attention_network_task.alerting_rt","Attention Network ","alerting rt","task",-0.02,"Pearson",9,10,"Ishigami and Klein (2010)","difference","raw","rt",1,0,"",96,NA,0.0220933174018871,0.0182022953484484,0.0212250662584703
"attention_network_task.alerting_rt","Attention Network ","alerting rt","task",0.14,"Pearson",7,68,"Habekost, Petersen and Vangkilde (2014)","difference","raw","rt",1,0,"",96,NA,0.0220933174018871,0.0182022953484484,0.0212250662584703
"attention_network_task.alerting_rt","Attention Network ","alerting rt","task",0.35,"Pearson",7,68,"Habekost, Petersen and Vangkilde (2014)","difference","raw","rt",1,0,"",96,NA,0.0220933174018871,0.0182022953484484,0.0212250662584703
"attention_network_task.avg_rt","Attention Network ","avg rt","task",0.87,"Pearson",1,40,"Fan et al. (2002)","overall","raw","rt",1,0,"",96,NA,0.536422220334239,0.698345311544814,0.544792937963481
"attention_network_task.avg_rt","Attention Network ","avg rt","task",0.856,"Pearson",7,75,"Paap and Sawi (2016)","overall","raw","rt",1,0,"",96,NA,0.536422220334239,0.698345311544814,0.544792937963481
"attention_network_task.conflict_rt","Attention Network ","conflict rt","task",0.72,"Pearson",1,40,"Fan et al. (2002)","difference","raw","rt",1,0,"",96,NA,0.250542552975265,0.412404459524024,0.271217379224403
"attention_network_task.conflict_rt","Attention Network ","conflict rt","task",0.81,"Pearson",1,104,"Fan et al. (2001)","difference","raw","rt",1,0,"",96,NA,0.250542552975265,0.412404459524024,0.271217379224403
"attention_network_task.conflict_rt","Attention Network ","conflict rt","task",0.86,"Pearson",9,10,"Ishigami and Klein (2010)","difference","raw","rt",1,0,"",96,NA,0.250542552975265,0.412404459524024,0.271217379224403
"attention_network_task.conflict_rt","Attention Network ","conflict rt","task",0.84,"Pearson",7,68,"Habekost, Petersen and Vangkilde (2014)","difference","raw","rt",1,0,"",96,NA,0.250542552975265,0.412404459524024,0.271217379224403
"attention_network_task.conflict_rt","Attention Network ","conflict rt","task",0.74,"Pearson",7,68,"Habekost, Petersen and Vangkilde (2014)","difference","raw","rt",1,0,"",96,NA,0.250542552975265,0.412404459524024,0.271217379224403
"attention_network_task.conflict_rt","Attention Network ","conflict rt","task",0.515,"Pearson",7,75,"Paap and Sawi (2016)","difference","raw","rt",1,0,"",96,NA,0.250542552975265,0.412404459524024,0.271217379224403
"attention_network_task.congruent_rt","Attention Network ","congruent rt","task",0.858,"Pearson",7,75,"Paap and Sawi (2016)","condition","raw","rt",1,0,"",96,NA,0.553987903789183,0.711100146241628,0.561758912177795
"attention_network_task.incongruent_rt","Attention Network ","incongruent rt","task",0.879,"Pearson",7,75,"Paap and Sawi (2016)","condition","raw","rt",1,0,"",96,NA,0.464144765368188,0.641292014515636,0.476523083282957
"attention_network_task.neutral_rt","Attention Network ","neutral rt","task",0.642,"Pearson",7,75,"Paap and Sawi (2016)","condition","raw","rt",1,0,"",96,NA,0.479164454368868,0.644868019507837,0.488110247373975
"attention_network_task.orienting_rt","Attention Network ","orienting rt","task",0.61,"Pearson",1,40,"Fan et al. (2002)","difference","raw","rt",1,0,"",96,NA,0.359416679454768,0.524337500788498,0.361202675574015
"attention_network_task.orienting_rt","Attention Network ","orienting rt","task",0.41,"Pearson",1,104,"Fan et al. (2001)","difference","raw","rt",1,0,"",96,NA,0.359416679454768,0.524337500788498,0.361202675574015
"attention_network_task.orienting_rt","Attention Network ","orienting rt","task",0.57,"Pearson",9,10,"Ishigami and Klein (2010)","difference","raw","rt",1,0,"",96,NA,0.359416679454768,0.524337500788498,0.361202675574015
"attention_network_task.orienting_rt","Attention Network ","orienting rt","task",0.58,"Pearson",7,68,"Habekost, Petersen and Vangkilde (2014)","difference","raw","rt",1,0,"",96,NA,0.359416679454768,0.524337500788498,0.361202675574015
"attention_network_task.orienting_rt","Attention Network ","orienting rt","task",0.59,"Pearson",7,68,"Habekost, Petersen and Vangkilde (2014)","difference","raw","rt",1,0,"",96,NA,0.359416679454768,0.524337500788498,0.361202675574015
"bickel_titrator.hyp_discount_rate_large","Bickel Titrator","hyp discount rate large","task",0.71,"Pearson",7,30,"Baker, Johnson and Bickel (2003)","condition","fit","",0,0,"smoker",NA,NA,0.0294836853178419,0.0554532455889892,0.154872138110161
"bickel_titrator.hyp_discount_rate_large","Bickel Titrator","hyp discount rate large","task",0.9,"Pearson",7,30,"Baker, Johnson and Bickel (2003)","condition","fit","",0,0,"",NA,NA,0.0294836853178419,0.0554532455889892,0.154872138110161
"bickel_titrator.hyp_discount_rate_large","Bickel Titrator","hyp discount rate large","task",0.65,"Pearson",7,30,"Johnson, Bickel and Baker (2007)","condition","fit","",0,0,"",NA,NA,0.0294836853178419,0.0554532455889892,0.154872138110161
"bickel_titrator.hyp_discount_rate_medium","Bickel Titrator","hyp discount rate medium","task",0.78,"Pearson",7,30,"Baker, Johnson and Bickel (2003)","condition","fit","",0,0,"smoker",NA,NA,0.573726655655625,0.683760384564517,0.620078426938142
"bickel_titrator.hyp_discount_rate_medium","Bickel Titrator","hyp discount rate medium","task",0.87,"Pearson",7,30,"Baker, Johnson and Bickel (2003)","condition","fit","",0,0,"",NA,NA,0.573726655655625,0.683760384564517,0.620078426938142
"bickel_titrator.hyp_discount_rate_medium","Bickel Titrator","hyp discount rate medium","task",0.718,"Pearson",7,30,"Johnson, Bickel and Baker (2007)","condition","fit","",0,0,"smoker",NA,NA,0.573726655655625,0.683760384564517,0.620078426938142
"bickel_titrator.hyp_discount_rate_medium","Bickel Titrator","hyp discount rate medium","task",0.41,"Pearson",28,37,"De Wilde et al. (2013)","condition","fit","",0,0,"recovering addicts",NA,NA,0.573726655655625,0.683760384564517,0.620078426938142
"bickel_titrator.hyp_discount_rate_medium","Bickel Titrator","hyp discount rate medium","task",0.68,"Spearman",1,220,"Yoon and Chapman (2016)","condition","fit","",0,1,"",NA,NA,0.573726655655625,0.683760384564517,0.620078426938142
"bickel_titrator.hyp_discount_rate_small","Bickel Titrator","hyp discount rate small","task",0.77,"Pearson",9,48,"Hendrickson and Rasmussen (2013)","condition","fit","",0,0,"obese",NA,NA,-0.00398713729066998,-0.0086038895093398,0.0092229153812419
"bickel_titrator.hyp_discount_rate_small","Bickel Titrator","hyp discount rate small","task",0.939,"Pearson",4,24,"Richards et al. (1999)","condition","fit","",0,0,"",110,NA,-0.00398713729066998,-0.0086038895093398,0.0092229153812419
"bickel_titrator.hyp_discount_rate_small","Bickel Titrator","hyp discount rate small","task",0.74,"Pearson",7,30,"Baker, Johnson and Bickel (2003)","condition","fit","",0,0,"",NA,NA,-0.00398713729066998,-0.0086038895093398,0.0092229153812419
"bickel_titrator.hyp_discount_rate_small","Bickel Titrator","hyp discount rate small","task",0.82,"Pearson",7,30,"Baker, Johnson and Bickel (2003)","condition","fit","",0,0,"",NA,NA,-0.00398713729066998,-0.0086038895093398,0.0092229153812419
"bickel_titrator.hyp_discount_rate_small","Bickel Titrator","hyp discount rate small","task",0.549,"Pearson",7,30,"Johnson, Bickel and Baker (2007)","condition","fit","",0,0,"smoker",NA,NA,-0.00398713729066998,-0.0086038895093398,0.0092229153812419
"bickel_titrator.hyp_discount_rate_small","Bickel Titrator","hyp discount rate small","task",0.43,"Pearson",28,37,"De Wilde et al. (2013)","condition","fit","",0,0,"recovering addicts",NA,NA,-0.00398713729066998,-0.0086038895093398,0.0092229153812419
"bickel_titrator.hyp_discount_rate_small","Bickel Titrator","hyp discount rate small","task",0.5,"Pearson",28,37,"De Wilde et al. (2013)","condition","fit","",0,0,"recovering addicts",NA,NA,-0.00398713729066998,-0.0086038895093398,0.0092229153812419
"bickel_titrator.auc_small","Bickel Titrator","auc small","task",0.67,"Pearson",30,131,"Horan, Johnson and Green (2017)","condition","raw","",0,0,"schizophrenic",NA,NA,0.344372320699208,0.50530624623158,0.351247858431325
"bickel_titrator.auc_small","Bickel Titrator","auc small","task",0.86,"Pearson",7,49,"Smits et al. (2013)","condition","raw","",0,0,"",70,NA,0.344372320699208,0.50530624623158,0.351247858431325
"bickel_titrator.auc_small","Bickel Titrator","auc small","task",0.89,"Pearson",9,112,"Weafer et al. (2013)","condition","raw","",0,0,"",NA,NA,0.344372320699208,0.50530624623158,0.351247858431325
"bis_bas_survey.BAS_drive","BIS-BAS","BAS drive","survey",0.66,"Pearson",56,113,"Carver and White (1994)","condition","fit","",0,0,"",4,NA,0.696321800696151,0.820107821876475,0.697351566346961
"bis_bas_survey.BAS_drive","BIS-BAS","BAS drive","survey",0.46,"Pearson",360,42,"Meyer, Johnson and Winters (2001)","condition","fit","",0,0,"",4,NA,0.696321800696151,0.820107821876475,0.697351566346961
"bis_bas_survey.BAS_fun_seeking","BIS-BAS","BAS fun seeking","survey",0.69,"Pearson",56,113,"Carver and White (1994)","condition","fit","",0,0,"",4,NA,0.703108813702545,0.829607858347002,0.710936840315713
"bis_bas_survey.BAS_fun_seeking","BIS-BAS","BAS fun seeking","survey",0.49,"Pearson",360,42,"Meyer, Johnson and Winters (2001)","condition","fit","",0,0,"",4,NA,0.703108813702545,0.829607858347002,0.710936840315713
"bis_bas_survey.BAS_reward_responsiveness","BIS-BAS","BAS reward responsiveness","survey",0.59,"Pearson",56,113,"Carver and White (1994)","condition","fit","",0,0,"",5,NA,0.761009287995633,0.863603001137158,0.763068365126931
"bis_bas_survey.BAS_reward_responsiveness","BIS-BAS","BAS reward responsiveness","survey",0.44,"Pearson",360,42,"Meyer, Johnson and Winters (2001)","condition","fit","",0,0,"",5,NA,0.761009287995633,0.863603001137158,0.763068365126931
"bis_bas_survey.BAS_total","BIS-BAS","BAS total","survey",0.72,"ICC",150,46,"Sutton and Davidson (1997)","condition","raw","",0,0,"",13,NA,0.764284513544944,0.865943282224322,0.767713242376366
"bis_bas_survey.BAS_total","BIS-BAS","BAS total","survey",0.5,"Pearson",360,42,"Meyer, Johnson and Winters (2001)","condition","raw","",0,0,"",13,NA,0.764284513544944,0.865943282224322,0.767713242376366
"bis_bas_survey.BAS_total","BIS-BAS","BAS total","survey",0.86,"ICC",7,23,"Fliessbach et al. (2010)","condition","raw","",0,0,"",13,NA,0.764284513544944,0.865943282224322,0.767713242376366
"bis_bas_survey.BAS_total","BIS-BAS","BAS total","survey",0.82,"Pearson",54,201,"Alloy et al. (2012)","condition","raw","",0,0,"bipolar",13,NA,0.764284513544944,0.865943282224322,0.767713242376366
"bis_bas_survey.BAS_total","BIS-BAS","BAS total","survey",0.6,"Pearson",264,201,"Alloy et al. (2012)","condition","raw","",0,0,"bipolar",13,NA,0.764284513544944,0.865943282224322,0.767713242376366
"bis_bas_survey.BAS_total","BIS-BAS","BAS total","survey",0.58,"Pearson",28,70,"Amiri, Behnezhad and Azad-Marzabadi (2017)","condition","raw","",0,0,"",13,NA,0.764284513544944,0.865943282224322,0.767713242376366
"bis_bas_survey.BIS","BIS-BAS","BIS","survey",0.66,"Pearson",56,113,"Carver and White (1994)","condition","raw","",0,0,"",7,NA,0.820380563996592,0.900797396895189,0.82208312725855
"bis_bas_survey.BIS","BIS-BAS","BIS","survey",0.68,"ICC",150,46,"Sutton and Davidson (1997)","condition","raw","",0,0,"",7,NA,0.820380563996592,0.900797396895189,0.82208312725855
"bis_bas_survey.BIS","BIS-BAS","BIS","survey",0.81,"Pearson",360,42,"Meyer, Johnson and Winters (2001)","condition","raw","",0,0,"",7,NA,0.820380563996592,0.900797396895189,0.82208312725855
"bis_bas_survey.BIS","BIS-BAS","BIS","survey",0.7,"Pearson",90,109,"Li and Zinbarg (2007)","condition","raw","",0,0,"",7,NA,0.820380563996592,0.900797396895189,0.82208312725855
"bis_bas_survey.BIS","BIS-BAS","BIS","survey",0.91,"ICC",7,23,"Fliessbach et al. (2010)","condition","raw","",0,0,"",7,NA,0.820380563996592,0.900797396895189,0.82208312725855
"bis_bas_survey.BIS","BIS-BAS","BIS","survey",0.81,"Pearson",54,201,"Alloy et al. (2012)","condition","raw","",0,0,"bipolar",7,NA,0.820380563996592,0.900797396895189,0.82208312725855
"bis_bas_survey.BIS","BIS-BAS","BIS","survey",0.7,"Pearson",264,201,"Alloy et al. (2012)","condition","raw","",0,0,"bipolar",7,NA,0.820380563996592,0.900797396895189,0.82208312725855
"bis_bas_survey.BIS","BIS-BAS","BIS","survey",0.64,"Pearson",28,70,"Amiri, Behnezhad and Azad-Marzabadi (2017)","condition","raw","",0,0,"",7,NA,0.820380563996592,0.900797396895189,0.82208312725855
"bis11_survey.Attentional","BIS-11","Attentional","survey",0.78,"ICC",120,34,"Someya et al. (2001)","condition","fit","",0,0,"",8,NA,0.662621810441711,0.79567685174748,0.664169851322189
"bis11_survey.Attentional","BIS-11","Attentional","survey",0.63,"ICC",14,32,"Suris et al. (2007)","condition","fit","",0,0,"",8,NA,0.662621810441711,0.79567685174748,0.664169851322189
"bis11_survey.Attentional","BIS-11","Attentional","survey",0.62,"ICC",14,31,"Suris et al. (2007)","condition","fit","",0,0,"",8,NA,0.662621810441711,0.79567685174748,0.664169851322189
"bis11_survey.Attentional","BIS-11","Attentional","survey",0.58,"ICC",14,34,"Suris et al. (2007)","condition","fit","",0,0,"",8,NA,0.662621810441711,0.79567685174748,0.664169851322189
"bis11_survey.Attentional","BIS-11","Attentional","survey",0.61,"Spearman",30,153,"Stanford et al. (2009)","condition","fit","",0,0,"",8,NA,0.662621810441711,0.79567685174748,0.664169851322189
"bis11_survey.Attentional","BIS-11","Attentional","survey",0.86,"Pearson",9,127,"Weafer et al. (2013)","condition","fit","",0,0,"",8,NA,0.662621810441711,0.79567685174748,0.664169851322189
"bis11_survey.Motor","BIS-11","Motor","survey",0.74,"ICC",120,34,"Someya et al. (2001)","condition","fit","",0,0,"",11,NA,0.560673447039017,0.717859998085696,0.567892557189696
"bis11_survey.Motor","BIS-11","Motor","survey",0.43,"ICC",14,32,"Suris et al. (2007)","condition","fit","",0,0,"",11,NA,0.560673447039017,0.717859998085696,0.567892557189696
"bis11_survey.Motor","BIS-11","Motor","survey",0.25,"ICC",14,31,"Suris et al. (2007)","condition","fit","",0,0,"",11,NA,0.560673447039017,0.717859998085696,0.567892557189696
"bis11_survey.Motor","BIS-11","Motor","survey",0.57,"ICC",14,34,"Suris et al. (2007)","condition","fit","",0,0,"",11,NA,0.560673447039017,0.717859998085696,0.567892557189696
"bis11_survey.Motor","BIS-11","Motor","survey",0.67,"Spearman",30,153,"Stanford et al. (2009)","condition","fit","",0,0,"",11,NA,0.560673447039017,0.717859998085696,0.567892557189696
"bis11_survey.Motor","BIS-11","Motor","survey",0.88,"Pearson",9,127,"Weafer et al. (2013)","condition","fit","",0,0,"",11,NA,0.560673447039017,0.717859998085696,0.567892557189696
"bis11_survey.Nonplanning","BIS-11","Nonplanning","survey",0.84,"ICC",120,34,"Someya et al. (2001)","condition","fit","",0,0,"",11,NA,0.627841535285404,0.769011825088078,0.629417981270819
"bis11_survey.Nonplanning","BIS-11","Nonplanning","survey",0.72,"ICC",14,32,"Suris et al. (2007)","condition","fit","",0,0,"",11,NA,0.627841535285404,0.769011825088078,0.629417981270819
"bis11_survey.Nonplanning","BIS-11","Nonplanning","survey",0.73,"ICC",14,31,"Suris et al. (2007)","condition","fit","",0,0,"",11,NA,0.627841535285404,0.769011825088078,0.629417981270819
"bis11_survey.Nonplanning","BIS-11","Nonplanning","survey",0.77,"ICC",14,34,"Suris et al. (2007)","condition","fit","",0,0,"",11,NA,0.627841535285404,0.769011825088078,0.629417981270819
"bis11_survey.Nonplanning","BIS-11","Nonplanning","survey",0.72,"Spearman",30,153,"Stanford et al. (2009)","condition","fit","",0,0,"",11,NA,0.627841535285404,0.769011825088078,0.629417981270819
"bis11_survey.Nonplanning","BIS-11","Nonplanning","survey",0.85,"Pearson",9,127,"Weafer et al. (2013)","condition","fit","",0,0,"",11,NA,0.627841535285404,0.769011825088078,0.629417981270819
"bis11_survey.total","BIS-11","total","survey",0.71,"ICC",120,34,"Someya et al. (2001)","condition","raw","",0,0,"",30,NA,0.675977633941274,0.804817948584308,0.678379625412562
"bis11_survey.total","BIS-11","total","survey",0.89,"Pearson",60,83,"Fossati et al. (2001)","condition","raw","",0,0,"",30,NA,0.675977633941274,0.804817948584308,0.678379625412562
"bis11_survey.total","BIS-11","total","survey",0.77,"ICC",14,32,"Suris et al. (2007)","condition","raw","",0,0,"",30,NA,0.675977633941274,0.804817948584308,0.678379625412562
"bis11_survey.total","BIS-11","total","survey",0.78,"ICC",14,31,"Suris et al. (2007)","condition","raw","",0,0,"",30,NA,0.675977633941274,0.804817948584308,0.678379625412562
"bis11_survey.total","BIS-11","total","survey",0.8,"ICC",14,34,"Suris et al. (2007)","condition","raw","",0,0,"",30,NA,0.675977633941274,0.804817948584308,0.678379625412562
"bis11_survey.total","BIS-11","total","survey",0.83,"Pearson",60,44,"Gülec et al. (2008)","condition","raw","",0,0,"",30,NA,0.675977633941274,0.804817948584308,0.678379625412562
"bis11_survey.total","BIS-11","total","survey",0.83,"Spearman",30,153,"Stanford et al. (2009)","condition","raw","",0,0,"",30,NA,0.675977633941274,0.804817948584308,0.678379625412562
"bis11_survey.total","BIS-11","total","survey",0.92,"Pearson",9,127,"Weafer et al. (2013)","condition","raw","",0,0,"",30,NA,0.675977633941274,0.804817948584308,0.678379625412562
"brief_self_control_survey.self_control","Brief Self Control ","self control","survey",0.87,"Pearson",21,233,"Tangney et al. (2004)","overall","raw","",0,0,"",13,NA,0.747269031233738,0.85418309878161,0.747788132189428
"brief_self_control_survey.self_control","Brief Self Control ","self control","survey",0.75,"Pearson",210,140,"Duckworth and Seligman (2005)","overall","raw","",0,0,"",13,NA,0.747269031233738,0.85418309878161,0.747788132189428
"brief_self_control_survey.self_control","Brief Self Control ","self control","survey",0.76,"Pearson",210,164,"Duckworth and Seligman (2005)","overall","raw","",0,0,"",13,NA,0.747269031233738,0.85418309878161,0.747788132189428
"choice_reaction_time.avg_rt","Choice Reaction Time","avg rt","task",0.6,"Pearson",21,55,"Barrett et al. (1982)","overall, raw, rt","raw","rt",1,0,"",30,NA,0.627623350058956,0.771042832712174,0.637035207759909
"choice_reaction_time.avg_rt","Choice Reaction Time","avg rt","task",0.94,"Pearson",1,16,"Kennedy et al. (1989)","overall, raw, rt","raw","rt",1,0,"",30,NA,0.627623350058956,0.771042832712174,0.637035207759909
"choice_reaction_time.avg_rt","Choice Reaction Time","avg rt","task",0.94,"Pearson",1,16,"Kennedy et al. (1989)","overall, raw, rt","raw","rt",1,0,"",30,NA,0.627623350058956,0.771042832712174,0.637035207759909
"choice_reaction_time.avg_rt","Choice Reaction Time","avg rt","task",0.71,"Pearson",28,21,"Williams et al. (2005)","overall, raw, rt","raw","rt",1,0,"",20,NA,0.627623350058956,0.771042832712174,0.637035207759909
"choice_reaction_time.avg_rt","Choice Reaction Time","avg rt","task",0.83,"Pearson",1,20,"Deary, Liewald and Nissan (2011)","overall, raw, rt","raw","rt",1,0,"",40,NA,0.627623350058956,0.771042832712174,0.637035207759909
"choice_reaction_time.avg_rt","Choice Reaction Time","avg rt","task",0.79,"ICC",1,96,"Jones et al. (2016)","overall, raw, rt","raw","rt",1,0,"",NA,NA,0.627623350058956,0.771042832712174,0.637035207759909
"dickman_survey.dysfunctional","Dickman ","dysfunctional","survey",0.73,"Pearson",25,211,"Brunas-Wagstaff et al. (1997)","condition","fit","",0,0,"",12,NA,0.566807091058991,0.71955726855559,0.571458668112068
"dickman_survey.dysfunctional","Dickman ","dysfunctional","survey",0.824,"Spearman",360,11,"Caci et al. (2003)","condition","fit","",0,0,"",12,NA,0.566807091058991,0.71955726855559,0.571458668112068
"dickman_survey.dysfunctional","Dickman ","dysfunctional","survey",0.528,"Spearman",360,38,"Caci et al. (2003)","condition","fit","",0,0,"",12,NA,0.566807091058991,0.71955726855559,0.571458668112068
"dickman_survey.dysfunctional","Dickman ","dysfunctional","survey",0.765,"Pearson",30,107,"Chico et al. (2003)","condition","fit","",0,0,"",12,NA,0.566807091058991,0.71955726855559,0.571458668112068
"dickman_survey.functional","Dickman ","functional","survey",0.58,"Pearson",25,211,"Brunas-Wagstaff et al. (1997)","condition","fit","",0,0,"",11,NA,0.673536909103721,0.804670209140418,0.675643080315308
"dickman_survey.functional","Dickman ","functional","survey",0.435,"Spearman",360,11,"Caci et al. (2003)","condition","fit","",0,0,"",11,NA,0.673536909103721,0.804670209140418,0.675643080315308
"dickman_survey.functional","Dickman ","functional","survey",0.695,"Spearman",360,38,"Caci et al. (2003)","condition","fit","",0,0,"",11,NA,0.673536909103721,0.804670209140418,0.675643080315308
"dickman_survey.functional","Dickman ","functional","survey",0.757,"Pearson",30,107,"Chico et al. (2003)","condition","fit","",0,0,"",11,NA,0.673536909103721,0.804670209140418,0.675643080315308
"dietary_decision.prop_healthy_choice","Dietary Decision","prop healthy choice","task",0.42,"Pearson",7,27,"Vlaev et al. (2017)","overall","raw","",0,0,"",25,NA,0.39975431920492,0.565752787468582,0.400525474598231
"dietary_decision.prop_healthy_choice","Dietary Decision","prop healthy choice","task",0.61,"Pearson",7,27,"Vlaev et al. (2017)","overall","raw","",0,0,"",25,NA,0.39975431920492,0.565752787468582,0.400525474598231
"dietary_decision.prop_healthy_choice","Dietary Decision","prop healthy choice","task",0.54,"Pearson",7,27,"Vlaev et al. (2017)","overall","raw","",0,0,"",25,NA,0.39975431920492,0.565752787468582,0.400525474598231
"digit_span.forward_span","Digit Span","forward span","task",0.73,"Pearson",90,145,"Baddeley, Gardner and Grantham-McGregor (1995)","condition","raw","",0,0,"",NA,NA,0.484015408365114,0.653623403637695,0.492481622404127
"digit_span.forward_span","Digit Span","forward span","task",0.73,"Pearson",7,43,"Karpicke and Pisoni (2000)","condition","raw","",0,0,"",10,NA,0.484015408365114,0.653623403637695,0.492481622404127
"digit_span.forward_span","Digit Span","forward span","task",0.35,"Pearson",14,25,"Williams et al. (2000)","condition","raw","",0,0,"depressed",NA,NA,0.484015408365114,0.653623403637695,0.492481622404127
